geoid,name,state,japanese_pop,total_pop,japanese_pct
26163545100,"Wayne County (5451)","Michigan",0,1019,0
26163517300,"Wayne County (5173)","Michigan",0,2472,0
26163515200,"Wayne County (5152)","Michigan",0,1506,0
26163542600,"Wayne County (5426)","Michigan",0,3454,0
26163513900,"Wayne County (5139)","Michigan",0,1408,0
26099262400,"Macomb County (2624)","Michigan",10,3525,0.28
26099263700,"Macomb County (2637)","Michigan",36,5575,0.65
26099250100,"Macomb County (2501)","Michigan",0,2139,0
26099268000,"Macomb County (2680)","Michigan",0,5912,0
26099245200,"Macomb County (2452)","Michigan",7,2652,0.26
26099258700,"Macomb County (2587)","Michigan",0,3114,0
26099255600,"Macomb County (2556)","Michigan",0,3113,0
26099225701,"Macomb County (2257.01)","Michigan",61,5676,1.07
26099230300,"Macomb County (2303)","Michigan",0,4374,0
26099230602,"Macomb County (2306.02)","Michigan",0,6875,0
26099231500,"Macomb County (2315)","Michigan",0,5289,0
26099260700,"Macomb County (2607)","Michigan",1,2924,0.03
26111290700,"Midland County (2907)","Michigan",0,3976,0
26145012700,"Saginaw County (127)","Michigan",0,4655,0
26145001200,"Saginaw County (12)","Michigan",0,2723,0
26147649000,"St. Clair County (6490)","Michigan",0,4139,0
26147623000,"St. Clair County (6230)","Michigan",0,2878,0
18183050700,"Whitley County (507)","Indiana",0,3396,0
22057021800,"Lafourche Parish (218)","Louisiana",0,4634,0
22057020100,"Lafourche Parish (201)","Louisiana",0,2623,0
26017286600,"Bay County (2866)","Michigan",0,4792,0
26049010111,"Genesee County (101.11)","Michigan",0,1478,0
26049013002,"Genesee County (130.02)","Michigan",0,4439,0
26049000200,"Genesee County (2)","Michigan",0,1161,0
26049000900,"Genesee County (9)","Michigan",0,2411,0
26049002700,"Genesee County (27)","Michigan",0,2951,0
26049012601,"Genesee County (126.01)","Michigan",0,3089,0
26049011713,"Genesee County (117.13)","Michigan",0,3774,0
26049011401,"Genesee County (114.01)","Michigan",0,3345,0
26087332500,"Lapeer County (3325)","Michigan",0,3550,0
26115833200,"Monroe County (8332)","Michigan",0,4426,0
26115830500,"Monroe County (8305)","Michigan",0,3946,0
